wavelength      transmission
     7.012988993        95.28846659
     7.030848007        95.37748216
     7.048707021         95.3972634
     7.066566035        95.47638835
     7.084425049        95.50606021
     7.102284063        95.62474764
     7.126096082        95.67420074
     7.143955096        95.72365383
      7.16181411        95.81266941
     7.179673124        95.84234127
     7.197532138        95.93135684
     7.215391153        95.95113808
     7.233250167        96.02037241
     7.251109181        96.07971613
     7.268968195        96.09949737
     7.286827209        96.13905984
     7.304686223         96.2181848
     7.328498242        96.26763789
     7.346357256        96.26763789
      7.36421627        96.30720037
     7.382075284        96.37643471
     7.399934298        96.40610656
     7.417793312         96.4258878
     7.435652326        96.45555966
      7.45351134         96.4258878
     7.471370354        96.45555966
     7.489229368         96.4753409
     7.507088382        96.55446585
     7.524947396        96.58413771
     7.542806411        96.64348143
     7.560665425        96.66326266
     7.578524439         96.6830439
     7.596383453         96.7819501
     7.614242467        96.81162195
     7.632101481        96.88085629
     7.649960495        96.95998124
     7.667819509        96.97976248
     7.685678523        97.02921558
     7.702049286        97.05888743
     7.721396551        97.09844991
     7.739255565        97.12812177
     7.757114579        97.21713734
     7.774973593         97.2468092
     7.792832608        97.26659044
     7.810691622         97.2962623
     7.828550636        97.33582477
      7.84640965        97.36549663
     7.864268664        97.38527787
     7.882127678        97.39516849
     7.899986692        97.42484035
     7.917845706        97.46440282
      7.93570472        97.49407468
     7.953563734        97.52374654
     7.971422748        97.58309025
     7.983328758        97.59298087
     8.013093781        97.65232459
     8.032441046        97.68199645
     8.048811809        97.72155892
     8.066670823        97.79079326
     8.084529837         97.8105745
     8.102388851        97.84024636
     8.120247865        97.86991821
      8.13810688        97.92926193
     8.155965894        97.91937131
     8.173824908        97.92926193
     8.191683922        97.94904317
     8.209542936        97.97871503
      8.22740195        98.03805874
     8.245260964         98.0677306
     8.263119978         98.0677306
     8.280978992        98.10729308
     8.298838006        98.13696493
      8.31669702        98.13696493
     8.334556034        98.15674617
     8.352415048        98.20619927
     8.370274062        98.21608989
     8.388133077        98.25565236
     8.405992091        98.23587113
     8.423851105        98.24576175
     8.441710119         98.2754336
     8.458080882         98.2976875
     8.477428147         98.3248867
     8.495287161        98.35455856
     8.514634426        98.34219528
     8.531005189        98.36444918
     8.548864203         98.3743398
     8.572676222        98.38423041
     8.590535236        98.40401165
     8.614347255        98.41390227
     8.632206269        98.44357413
     8.650065283        98.42379289
     8.667924297        98.47324599
     8.685783311        98.48313661
     8.703642325        98.50291785
     8.721501339        98.50291785
     8.739360353        98.50291785
     8.757219367        98.49302723
     8.775078381        98.49302723
     8.792937395        98.48313661
      8.81079641        98.45346475
     8.834608428        98.43368351
     8.852467442        98.42379289
     8.870326456        98.35455856
     8.888185471        98.31499608
     8.906044485        98.24576175
     8.923903499        98.15674617
     8.941762513        98.04794936
     8.959621527        98.00838688
     8.974504039        97.90453538
     9.013198569         97.7611214
     9.042963592        97.66221521
     9.060822607        97.59298087
     9.078681621        97.52374654
     9.096540635         97.5039653
     9.114399649        97.49407468
     9.132258663         97.4545122
     9.150117677         97.5039653
     9.167976691        97.51880123
     9.185835705        97.58309025
     9.203694719        97.67210583
     9.221553733        97.71166831
     9.239412747        97.85013697
     9.257271761        97.91937131
     9.275130775        97.99849626
     9.292989789        98.10729308
     9.310848804        98.13696493
     9.328707818        98.23587113
     9.346566832        98.26554298
     9.364425846         98.3248867
      9.38228486        98.39412103
     9.400143874        98.45346475
     9.418002888        98.48313661
     9.435861902        98.48313661
     9.453720916        98.50291785
      9.47157993        98.52269908
     9.489438944         98.5325897
     9.507297958         98.5325897
     9.525156972         98.5325897
     9.543015986        98.55237094
     9.560875001        98.52269908
     9.578734015        98.52269908
     9.596593029        98.54248032
     9.614452043         98.5325897
     9.632311057        98.54248032
     9.650170071        98.57215218
     9.668029085         98.5325897
     9.685888099         98.5325897
     9.703747113        98.52269908
     9.727559132        98.47324599
     9.745418146        98.47324599
      9.76327716        98.47324599
     9.781136174        98.46335537
     9.798995188        98.47324599
     9.816854202        98.46335537
     9.834713216        98.47324599
      9.85257223        98.46335537
     9.870431244        98.48313661
     9.888290258        98.46335537
     9.906149273        98.47324599
     9.924008287        98.45346475
     9.941867301        98.44357413
     9.959726315        98.44357413
     9.977585329        98.44357413
     9.989491338        98.45346475
     10.01925636        98.39412103
     10.03711538        98.38423041
     10.05497439        98.39412103
      10.0728334        98.34466794
     10.09069242        98.34219528
     10.10855143        98.31499608
     10.12641045        98.30510546
     10.14426946        98.28532422
     10.16212847         98.2754336
     10.17998749        98.25565236
      10.1978465        98.24576175
     10.21570552        98.21608989
     10.23356453        98.19630865
     10.25142354        98.18641803
     10.26928256        98.13696493
     10.28714157        98.13696493
     10.30500059        98.08751184
      10.3228596        98.05783998
     10.34071861        98.04794936
     10.35857763        98.00838688
     10.37643664        97.97871503
